Date,Open,High,Low,Close,Adj Close,Volume,Jday,DayCount
2013-07-19,15524.269531,15544.549805,15491.959961000002,15543.740234,15543.740234,229260000,2456492.5,2025.0
2013-07-22,15543.969727000002,15576.209961000002,15516.200195,15545.549805,15545.549805,180920000,2456495.5,2028.0
2013-07-23,15547.0,15604.219727000002,15544.05957,15567.740234,15567.740234,98700000,2456496.5,2029.0
2013-07-24,15576.69043,15602.599609,15496.839844,15542.240234,15542.240234,99320000,2456497.5,2030.0
2013-07-25,15539.169922,15560.330078,15455.589844,15555.610352000002,15555.610352000002,103260000,2456498.5,2031.0
2013-07-26,15547.849609,15560.969727000002,15405.160156,15558.830078,15558.830078,94880000,2456499.5,2032.0
2013-07-29,15557.139647999998,15557.139647999998,15482.269531,15521.969727000002,15521.969727000002,87240000,2456502.5,2035.0
2013-07-30,15534.490234,15593.910156,15479.129883000001,15520.589844,15520.589844,117550000,2456503.5,2036.0
2013-07-31,15528.570313,15634.320313,15492.959961000002,15499.540038999998,15499.540038999998,145120000,2456504.5,2037.0
2013-08-01,15503.849609,15650.69043,15503.849609,15628.019531,15628.019531,111040000,2456505.5,2038.0
2013-08-02,15627.55957,15658.429688,15558.679688,15658.360352000002,15658.360352000002,104840000,2456506.5,2039.0
2013-08-05,15651.980469,15655.209961000002,15584.830078,15612.129883000001,15612.129883000001,76850000,2456509.5,2042.0
2013-08-06,15608.44043,15608.44043,15473.400391,15518.740234,15518.740234,87730000,2456510.5,2043.0
2013-08-07,15516.209961000002,15516.209961000002,15421.75,15470.669922,15470.669922,88430000,2456511.5,2044.0
2013-08-08,15477.269531,15557.120116999999,15418.599609,15498.320313,15498.320313,90990000,2456512.5,2045.0
2013-08-09,15496.629883000001,15507.759766,15346.650391,15425.509766,15425.509766,81180000,2456513.5,2046.0
2013-08-12,15415.219727000002,15441.75,15359.929688,15419.679688,15419.679688,78060000,2456516.5,2049.0
2013-08-13,15420.679688,15504.139647999998,15342.339844,15451.009766,15451.009766,84790000,2456517.5,2050.0
2013-08-14,15447.709961000002,15453.080078,15316.620116999999,15337.660156,15337.660156,91030000,2456518.5,2051.0
2013-08-15,15332.709961000002,15332.709961000002,15094.030272999998,15112.19043,15112.19043,128340000,2456519.5,2052.0
2013-08-16,15112.570313,15139.769531,15054.379883000001,15081.469727000002,15081.469727000002,151620000,2456520.5,2053.0
2013-08-19,15076.790038999998,15106.389647999998,15005.419922,15010.740234,15010.740234,111660000,2456523.5,2056.0
