,permit,city,state,zip,district,date_issued,lat,lng
88,300.0,Nashville,TN,37207,2.0,12/15/2014,36.179945,-86.775061
89,339.0,Nashville,TN,37013,33.0,12/04/2014,36.084335,-86.681832
90,269.0,Nashville,TN,37207,2.0,02/10/2015,36.219945,-86.775061
91,111.0,Nashville,TN,37211,27.0,01/13/2015,36.039132,-86.764578
92,238.0,Nashville,TN,37206,7.0,12/03/2014,36.190950,-86.769624
93,201.0,Nashville,TN,37214,13.0,11/19/2014,36.213995,-86.657231
94,267.0,Nashville,TN,37221,35.0,11/19/2015,36.024367,-86.975290
95,437.0,Nashville,TN,37013,23.0,12/01/2015,36.014335,-86.631832
96,2.0,Nashville,TN,37212,18.0,11/19/2015,36.148256,-86.781456
97,268.0,Nashville,TN,37214,15.0,12/01/2015,36.153995,-86.702231
98,405.0,Nashville,TN,37212,18.0,03/04/2015,36.153256,-86.761456
99,250.0,Nashville,TN,37211,16.0,11/19/2015,36.074132,-86.694578
100,21.0,Nashville,TN,37205,24.0,12/01/2015,36.152469,-86.882263
101,242.0,Nashville,TN,37209,24.0,01/26/2015,36.174599,-86.869487
102,472.0,Nashville,TN,37205,25.0,08/12/2015,36.142469,-86.882263
103,424.0,Nashville,TN,37204,17.0,04/28/2015,36.074305,-86.791748
104,453.0,Nashville,TN,37208,2.0,06/17/2015,36.136427,-86.810176
105,205.0,Nashville,TN,37027,1.0,11/26/2014,36.012450,-86.813709
106,178.0,Nashville,TN,37216,7.0,12/04/2015,36.176134,-86.741204
107,464.0,Nashville,TN,37216,7.0,07/02/2015,36.216134,-86.731204
108,475.0,Nashville,TN,37205,23.0,11/30/2015,36.147469,-86.837263
109,59.0,Nashville,TN,37135,31.0,03/24/2015,35.971013,-86.701944
110,329.0,Nashville,TN,37214,14.0,06/26/2014,36.173995,-86.657231
111,433.0,Nashville,TN,37027,4.0,11/19/2015,36.042450,-86.778709
112,455.0,Nashville,TN,37211,27.0,06/23/2015,36.059132,-86.754578
113,402.0,Nashville,TN,37212,18.0,02/19/2015,36.128256,-86.796456
114,269.0,Nashville,TN,37211,16.0,11/01/2014,36.044132,-86.769578
115,154.0,Nashville,TN,37207,8.0,04/26/2012,36.214945,-86.730061
116,303.0,Nashville,TN,37216,7.0,12/12/2014,36.216134,-86.771204
117,278.0,Nashville,TN,37115,6.0,09/09/2014,36.252567,-86.704171
118,195.0,Nashville,TN,37211,7.0,03/12/2015,36.069132,-86.694578
119,251.0,Nashville,TN,37205,23.0,01/27/2014,36.092469,-86.867263
120,279.0,Nashville,TN,37204,17.0,02/10/2015,36.094305,-86.736748
121,324.0,Nashville,TN,37205,23.0,02/10/2015,36.102469,-86.882263
122,133.0,Nashville,TN,37212,18.0,,36.113256,-86.841456
123,92.0,Nashville,TN,37208,21.0,01/16/2015,36.206427,-86.845176
124,438.0,Nashville,TN,37216,7.0,11/30/2015,36.261134,-86.756204
125,45.0,Nashville,TN,37215,34.0,02/07/2013,36.086316,-86.792959
126,33.0,Nashville,TN,37205,23.0,02/23/2015,36.142469,-86.862263
127,247.0,Nashville,TN,37216,7.0,01/13/2015,36.251134,-86.706204
128,403.0,Nashville,TN,37221,22.0,11/30/2015,36.094367,-87.000290
129,283.0,Nashville,TN,37216,7.0,,36.191134,-86.746204
130,314.0,Nashville,TN,37211,26.0,12/03/2014,36.069132,-86.694578
131,407.0,Nashville,TN,37205,23.0,03/16/2015,36.122469,-86.832263
132,466.0,Nashville,TN,37207,2.0,07/14/2015,36.214945,-86.805061
133,304.0,Nashville,TN,37215,34.0,11/19/2014,36.046316,-86.867959
134,330.0,Nashville,TN,37206,6.0,12/01/2015,36.195950,-86.734624
135,447.0,Nashville,TN,37218,1.0,06/05/2015,36.195699,-86.836798
136,55.0,Nashville,TN,37204,25.0,05/30/2012,36.089305,-86.776748
137,35.0,Nashville,TN,37211,10.0,11/14/2014,36.069132,-86.694578
138,319.0,Nashville,TN,37207,2.0,05/30/2014,36.184945,-86.760061
139,423.0,Nashville,TN,37206,6.0,05/01/2015,36.175950,-86.764624
140,171.0,Nashville,TN,37115,9.0,12/04/2015,36.242567,-86.714171
141,321.0,Nashville,TN,37013,30.0,06/02/2014,36.084335,-86.646832
142,,Nashville,TN,37211,16.0,10/19/2015,36.024132,-86.694578
143,15.0,Nashville,TN,37214,18.0,12/30/2014,36.138995,-86.702231
144,212.0,Nashville,TN,37212,19.0,11/19/2015,36.103256,-86.796456
145,463.0,Nashville,TN,37221,22.0,07/02/2014,36.079367,-86.945290
146,333.0,Nashville,TN,37221,22.0,12/30/2014,36.084367,-86.915290
147,257.0,Nashville,TN,37221,22.0,11/14/2014,36.059367,-86.915290
148,132.0,Nashville,TN,37216,7.0,11/12/2014,36.231134,-86.731204
